full_name,team,Position,Price,round,opponent_team,was_home,minutes,total_points,element,fixture,kickoff_time,team_h_score,team_a_score,modified,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
bradley_burrowes,Aston Villa,MD,4.5,5,Spurs,False,0,0,50,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-5269,63804,1961,7230
george_hemmings,Aston Villa,MD,4.5,5,Spurs,False,18,1,51,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,2,0,0,0,0,0,0,0,2,0.0,1.2,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.87,45,-3198,135094,14076,17274
alysson edward franco_da rocha dos santos,Aston Villa,MD,5.0,5,Spurs,False,0,0,52,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,983,6101,1608,625
johan_manzambi,Aston Villa,MD,5.9,5,Spurs,False,71,13,53,48,2026-09-19T11:30:00Z,2,3,False,1,1,1,0,0,0,0,0,0,0,2,45,63.2,25.8,60.0,14.9,2,4,1,7,1,0.44,0.16,0.60,0.68,59,853,14639,1843,990
joao_gomes,Aston Villa,MD,5.5,5,Spurs,False,90,4,54,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,2,0,0,0,0,0,0,0,13,22.6,13.8,0.0,3.6,5,3,5,13,1,0.00,0.02,0.02,1.56,55,137,4213,464,327
ollie_watkins,Aston Villa,FW,7.8,5,Spurs,False,0,0,55,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,78,-35250,284909,0,35250
tammy_abraham,Aston Villa,FW,5.5,5,Spurs,False,2,1,56,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,1,0,0,0,0,0,0,0,3,0.0,2.4,0.0,0.2,0,0,0,0,0,0.00,0.00,0.00,0.43,55,1415,19806,4340,2925
alejandro_garnacho ferreyra,Aston Villa,MD,5.8,5,Spurs,False,0,0,160,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,58,-6202,35129,839,7041
nicolas_jackson,Aston Villa,FW,6.5,5,Spurs,False,87,6,166,48,2026-09-19T11:30:00Z,2,3,False,1,0,0,1,0,0,0,1,0,0,1,31,37.4,11.4,52.0,10.1,1,3,0,4,1,0.44,0.02,0.46,1.13,65,-17305,125508,18834,36139
brian_madjo,Aston Villa,FW,5.4,5,Spurs,False,0,0,582,48,2026-09-19T11:30:00Z,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-4377,22744,268,4645
