date,round,home,away,opening_line,line,home_score,away_score,home_lgt,home_stdc,home_power,away_lgt,away_stdc,away_power,system_num,system_bet,result
2026-02-28,12,Munster,Zebre,,-24.5,21,7,-1.0,-3.0,5.6,9.0,-5.0,-18.7,-3,Zebre,W
2026-02-28,12,Ospreys,Ulster,,6.5,21,10,2.0,0.0,-2.8,3.0,4.0,10.0,0,,
2026-03-13,2,Connacht,Scarlets,,-8.5,31,14,-5.0,-1.0,-0.6,-3.0,3.0,-4.6,1,,
2026-03-13,2,Edinburgh,Ulster,,1.0,19,40,3.0,-2.0,3.3,8.0,3.0,7.1,1,,
2026-03-14,8,Bulls,Stormers,,-9.5,19,32,-9.0,3.0,5.3,6.0,1.0,5.9,-3,Stormers,W
2026-03-20,13,Bulls,Cardiff,,-19.5,40,7,6.0,2.0,6.3,-7.0,2.0,-1.8,1,,
2026-03-20,13,Scarlets,Zebre,,-16.0,36,17,7.0,2.0,-4.6,-5.0,-4.0,-14.4,-1,,
2026-03-20,13,Ulster,Connacht,,-12.0,19,26,0.0,4.0,8.6,-7.0,0.0,-1.1,-1,,
2026-03-21,13,Benetton,Ospreys,,-7.0,31,19,5.0,-4.0,0.2,-8.0,1.0,-2.5,3,Benetton,W
2026-03-21,13,Glasgow,Leinster,,2.5,38,17,5.0,-1.0,1.6,7.0,-2.0,8.7,-1,,
2026-03-21,13,Lions,Edinburgh,,-12.0,54,17,-6.0,4.0,-5.6,0.0,-3.0,2.8,-4,Edinburgh,L
2026-03-21,13,Sharks,Munster,,-6.5,45,0,9.0,-4.0,-3.5,5.0,-4.0,4.4,-1,,
2026-03-22,13,Stormers,Dragons,,-30.5,29,21,-6.0,2.0,2.9,-5.0,5.0,-1.8,-1,,
2026-03-27,14,Glasgow,Benetton,,-17.5,31,10,-3.0,0.0,1.6,-8.0,-3.0,-8.2,-2,,
2026-03-27,14,Leinster,Scarlets,,-25.0,36,19,3.0,-3.0,9.6,-1.0,3.0,-6.6,3,Leinster,L
2026-03-27,14,Sharks,Cardiff,,-18.0,21,15,0.0,-3.0,5.4,-1.0,1.0,0.4,2,,
2026-03-28,14,Bulls,Munster,,-14.5,34,31,1.0,3.0,15.5,0.0,-5.0,3.6,-2,,
2026-03-28,14,Connacht,Ospreys,,-10.5,21,14,-4.0,1.0,-2.7,8.0,0.0,-9.7,-4,Ospreys,W
2026-03-28,14,Lions,Dragons,,-17.0,42,26,-3.0,5.0,4.9,-7.0,6.0,-11.8,-1,,
