date,home,away,line,system_num,system_bet,result,last_cover,cards,kicking,red_zone,long_haul,tour_leg2,derby,big_line,line_move
2026-05-16,Munster,Lions,-7.0,3,Munster,,0,1,0,0,1,1,0,0,0
2026-05-16,Scarlets,Dragons,-5.0,1,,,0,1,1,0,0,0,-1,0,0
2026-05-16,Sharks,Zebre,-23.5,-1,,,-1,-1,1,-1,1,1,0,1,0
2026-05-29,Glasgow,Connacht,-13.0,2,,,1,1,-1,1,0,0,0,0,0
2026-05-30,Bulls,Munster,-15.5,-1,,,0,-1,1,0,1,0,0,1,0
2026-05-30,Leinster,Lions,-16.5,-1,,,-1,1,1,-1,1,0,0,1,0
2026-05-30,Stormers,Cardiff,-15.5,2,,,1,-1,-1,1,1,0,0,1,0
2026-06-06,Glasgow,Bulls,-1.5,2,,,1,0,0,0,1,0,0,0,0
2026-06-06,Leinster,Stormers,-15.0,-1,,,-1,1,-1,-1,1,0,0,1,0
2026-06-19,Leinster,Bulls,-4.5,-1,,,0,-1,-1,-1,1,0,0,0,0
